Região/Indicador,Produção (milhões t ou bilhões L),Variação Produção (%),Área (milhões ha),Variação Área (%),Produtividade (kg/ha),Variação Produtividade (%)
Brasil (Total),663.4,-2.0,8.79,0.3,75451.0,-2.3
Sudeste,420.2,-4.4,5.35,-0.6,77573.0,-3.3
Centro-Oeste,148.4,2.1,1.91,3.4,77574.0,-1.2
Sul,34.4,2.0,0.4971,2.3,69000.0,0.0
Nordeste,56.3,3.6,0.78,,72179487.0,2.1
Norte,4.2,,50.974,1.8,82395.0,
Açúcar (produção),45.9,,,,,
Etanol (total),36.82,-1.0,,,,
Etanol de cana,,-4.2,,,,
Etanol de milho,,11.0,,,,
Sudeste (Área anterior),,,5.382,,,
Centro-Oeste (Área anterior),,,1.846,3.4,,
Sul (Área anterior),,,0.486,2.3,,
Nordeste (Produção anterior),54.3,3.6,,,,
Centro-Oeste (Produtividade anterior),,,,,78519.0,
Sudeste (Produtividade anterior),,,,,80227.0,
Norte (Produtividade anterior),,,,,80140.0,
