Column1
ID_Talhao,Area_Plantada_ha,Producao_Sacas,Tipo_Solo,Nivel_Tecnologia
1,12.5,38.2,1,3
2,25.1,76.5,2,2
3,8.7,25.9,1,1
4,31.4,95.8,3,3
5,15.9,47.9,2,2
6,19.2,58.7,1,3
7,28.8,87.1,3,2
8,6.3,18.5,2,1
9,37.6,114.9,1,3
10,11.2,33.8,3,2
11,22.9,69.4,2,3
12,17.8,53.5,1,2
13,33.5,101.2,3,1
14,9.5,28.7,2,3
15,29.7,90.1,1,2
16,14.1,42.6,3,1
17,21.6,65.3,2,3
18,26.4,79.9,1,2
19,7.1,21.3,3,1
20,39.9,121.5,2,3
21,10.3,31.1,1,2
22,24.7,74.6,3,1
23,16.5,49.7,2,3
24,35.2,106.3,1,2
25,8.2,24.8,3,1
26,30.8,93.4,2,3
27,13.4,40.5,1,2
28,20.5,61.9,3,1
29,27.5,83.2,2,3
30,5.9,17.6,1,2
31,42.1,127.9,3,1
32,11.9,35.9,2,3
33,23.3,70.3,1,2
34,18.6,56.1,3,1
35,34.8,105.2,2,3
36,9.1,27.5,1,2
37,36.5,110.6,3,1
38,12.8,38.6,2,3
39,21.9,66.2,1,2
40,29.1,87.9,3,1
